covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
0,0,Female,2,1,Black,1,Indiana,East North Central,Midwest
1,1,Female,3,3,NA,3,Virginia,South Atlantic,South
1,1,Female,2,4,White,3,Minnesota,West North Central,Midwest
1,0,Female,2,3,Asian,2,Missouri,West North Central,Midwest
0,0,Male,3,3,Asian,2,New Jersey,Mid-Atlantic,Northeast
1,NA,NA,3,4,NA,2,NA,NA,NA
1,1,Female,3,5,NA,3,New Jersey,Mid-Atlantic,Northeast
1,1,Female,2,5,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,3,3,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,0,Female,2,3,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,3,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,NA,2,4,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,1,Female,3,4,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
0,0,Male,2,5,Asian,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,2,3,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,5,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,2,New Jersey,Mid-Atlantic,Northeast
1,1,Male,3,4,Asian,3,Massachusetts,New England,Northeast
1,1,Female,2,5,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,1,Female,2,4,NA,3,New Jersey,Mid-Atlantic,Northeast
1,0,Female,2,3,Asian,2,New Jersey,Mid-Atlantic,Northeast
1,1,NA,3,3,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,1,NA,1,1,White,2,New York,Mid-Atlantic,Northeast
1,0,Female,2,5,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,0,Female,2,4,Asian,3,Virginia,South Atlantic,South
1,1,Female,2,5,Asian,3,New Jersey,Mid-Atlantic,Northeast
1,1,Male,2,5,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,3,Asian,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,3,5,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,5,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,3,Virginia,South Atlantic,South
1,1,Female,2,2,White,3,Utah,Mountain,West
1,0,Female,2,1,White,2,Connecticut,New England,Northeast
1,0,Female,2,3,Asian,NA,NA,NA,NA
1,1,Female,2,5,NA,3,Florida,South Atlantic,South
1,1,Female,4,1,White,3,California,Pacific,West
1,0,Female,3,4,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,5,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,2,2,Asian,1,Texas,West South Central,South
1,1,Female,4,1,White,1,Oklahoma,West South Central,South
1,1,Female,3,3,Asian,3,California,Pacific,West
1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,2,Iowa,West North Central,Midwest
1,1,Female,2,1,White,1,South Carolina,South Atlantic,South
1,1,Male,4,1,White,3,Minnesota,West North Central,Midwest
0,0,Female,1,3,White,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,2,2,White,2,Ohio,East North Central,Midwest
1,1,Female,2,2,White,2,Ohio,East North Central,Midwest
1,1,Male,3,2,White,2,Texas,West South Central,South
0,0,Female,1,2,NA,1,Georgia,South Atlantic,South
1,0,Male,2,1,White,1,Texas,West South Central,South
1,0,Female,1,1,Hispanic,3,Puerto Rico,NA,NA
0,0,Female,2,2,White,2,Tennessee,East South Central,South
1,1,Female,3,4,White,2,Virginia,South Atlantic,South
1,1,Male,2,2,White,1,Tennessee,East South Central,South
1,1,Female,2,3,White,1,Kentucky,East South Central,South
1,0,Female,3,3,White,2,Minnesota,West North Central,Midwest
1,1,Female,2,4,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,2,White,2,Iowa,West North Central,Midwest
0,0,Female,2,2,White,2,Florida,South Atlantic,South
1,0,Male,2,1,White,1,Michigan,East North Central,Midwest
1,1,Female,4,4,White,3,Virginia,South Atlantic,South
1,1,NA,NA,NA,NA,1,New Mexico,Mountain,West
1,1,Female,3,5,White,1,California,Pacific,West
1,0,Female,2,1,White,1,Wisconsin,East North Central,Midwest
1,0,Female,2,3,White,2,Tennessee,East South Central,South
0,0,Female,1,2,Hispanic,2,Puerto Rico,NA,NA
1,0,Female,2,1,White,1,Texas,West South Central,South
1,1,Female,3,5,White,2,Kentucky,East South Central,South
1,0,Female,1,2,White,3,Virginia,South Atlantic,South
1,1,Male,4,3,White,1,California,Pacific,West
1,1,Female,2,4,White,2,Tennessee,East South Central,South
1,1,Female,2,2,White,2,Maryland,South Atlantic,South
1,0,Female,2,3,White,1,Missouri,West North Central,Midwest
1,1,Female,4,3,Black,2,DC,South Atlantic,South
1,1,Female,2,2,White,1,Georgia,South Atlantic,South
1,0,Female,2,2,White,3,North Carolina,South Atlantic,South
1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,White,3,Indiana,East North Central,Midwest
1,1,Female,2,5,White,4,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,5,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,4,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,NA,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,3,1,White,2,New York,Mid-Atlantic,Northeast
1,1,Female,3,4,Asian,3,NA,NA,NA
1,1,Male,1,5,Asian,2,Arizona,Mountain,West
0,1,Female,2,2,Asian,2,California,Pacific,West
1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,5,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,2,White,2,California,Pacific,West
1,1,Male,3,3,Asian,1,NA,NA,NA
1,0,Male,2,3,Asian,2,California,Pacific,West
1,0,Male,2,5,White,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,4,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,Asian,2,California,Pacific,West
1,1,Male,2,2,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,1,1,White,4,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,Hispanic,1,New York,Mid-Atlantic,Northeast
1,1,Female,2,2,Black,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,2,Black,1,North Carolina,South Atlantic,South
0,0,Female,1,3,White,1,Texas,West South Central,South
1,1,Female,2,4,Hispanic,2,Colorado,Mountain,West
1,1,Female,3,5,Asian,2,Ohio,East North Central,Midwest
1,1,Female,2,2,White,2,Oregon,Pacific,West
0,1,Male,2,2,Black,1,New Mexico,Mountain,West
1,1,Female,2,2,Hispanic,2,New Jersey,Mid-Atlantic,Northeast
0,1,Female,4,2,White,1,California,Pacific,West
1,1,Female,3,2,Hispanic,1,Wisconsin,East North Central,Midwest
1,1,Female,3,2,Hispanic,2,Illinois,East North Central,Midwest
0,1,Female,4,3,NA,NA,Tennessee,East South Central,South
0,0,Female,2,4,Other,2,Maryland,South Atlantic,South
1,1,Male,4,3,Hispanic,3,Ohio,East North Central,Midwest
1,1,Male,3,4,Hispanic,1,Washington,Pacific,West
0,0,Female,1,3,Hispanic,2,New York,Mid-Atlantic,Northeast
0,0,Female,2,2,White,3,Texas,West South Central,South
1,1,Female,2,2,Hispanic,1,Arizona,Mountain,West
1,1,Male,5,3,Black,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,Black,3,California,Pacific,West
1,0,Male,2,2,Other,1,New York,Mid-Atlantic,Northeast
1,1,Female,2,2,Hispanic,1,Alabama,East South Central,South
1,1,Female,4,4,NA,2,Colorado,Mountain,West
1,0,Male,2,2,Black,2,Georgia,South Atlantic,South
1,1,Male,2,1,Black,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,5,Hispanic,2,Texas,West South Central,South
1,0,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,2,1,Other,1,New Mexico,Mountain,West
0,1,Female,1,2,Other,2,Texas,West South Central,South
1,1,Female,3,2,Other,2,Hawaii,Pacific,West
1,0,Male,2,3,Hispanic,3,DC,South Atlantic,South
1,1,Female,4,3,Other,3,California,Pacific,West
1,1,Female,4,2,Hispanic,2,Iowa,West North Central,Midwest
0,0,Female,2,5,Other,3,Michigan,East North Central,Midwest
1,1,Female,2,5,Hispanic,2,Texas,West South Central,South
0,0,Female,2,1,Black,1,Texas,West South Central,South
0,1,Female,2,3,Other,2,Florida,South Atlantic,South
1,1,Male,2,2,Hispanic,3,Minnesota,West North Central,Midwest
0,1,Female,2,3,Hispanic,2,Texas,West South Central,South
1,1,Female,2,2,Hispanic,1,Tennessee,East South Central,South
1,1,Female,2,5,Hispanic,2,Illinois,East North Central,Midwest
1,1,Male,3,3,Hispanic,2,Virginia,South Atlantic,South
1,1,Female,2,5,Hispanic,2,California,Pacific,West
1,1,Female,5,4,Hispanic,3,Virginia,South Atlantic,South
1,1,Female,2,5,White,3,Arizona,Mountain,West
1,0,Female,4,2,Black,3,New York,Mid-Atlantic,Northeast
1,1,Female,1,2,Asian,2,New York,Mid-Atlantic,Northeast
0,0,Female,2,1,Other,3,Maryland,South Atlantic,South
1,1,Male,2,5,Hispanic,2,Texas,West South Central,South
1,1,Female,2,4,Hispanic,2,Florida,South Atlantic,South
1,1,Female,5,4,Black,2,Maryland,South Atlantic,South
1,1,Female,4,5,Black,3,Florida,South Atlantic,South
0,1,Male,2,4,Black,1,New York,Mid-Atlantic,Northeast
1,1,Female,2,4,Asian,3,New York,Mid-Atlantic,Northeast
0,0,Female,4,2,Black,2,NA,NA,NA
1,1,Female,3,5,Black,2,DC,South Atlantic,South
0,1,Female,4,4,Black,2,New York,Mid-Atlantic,Northeast
1,1,Male,3,4,Hispanic,2,Maryland,South Atlantic,South
1,1,Female,5,NA,NA,2,New York,Mid-Atlantic,Northeast
1,0,NA,3,1,NA,1,NA,NA,NA
1,1,Male,3,2,Black,1,New York,Mid-Atlantic,Northeast
1,1,Male,3,5,Asian,2,Maryland,South Atlantic,South
0,0,Female,3,1,Other,1,Florida,South Atlantic,South
1,1,Female,2,4,White,3,Maryland,South Atlantic,South
0,1,Female,4,1,Black,2,Florida,South Atlantic,South
0,1,Female,2,4,Black,2,Louisiana,West South Central,South
1,1,Female,3,2,Hispanic,1,New York,Mid-Atlantic,Northeast
1,0,Female,2,4,Black,2,New York,Mid-Atlantic,Northeast
0,1,Female,3,5,Asian,3,Illinois,East North Central,Midwest
1,1,Female,2,3,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
0,1,Male,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,Asian,3,Florida,South Atlantic,South
1,1,Male,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,0,Male,3,3,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,White,3,Tennessee,East South Central,South
1,1,Female,1,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,3,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Male,4,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,5,Asian,3,California,Pacific,West
1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,4,White,3,NA,NA,NA
1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,3,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,3,White,4,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,5,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,1,1,White,3,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,5,White,2,California,Pacific,West
1,1,Male,3,4,White,3,NA,NA,NA
1,1,Female,4,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,1,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,4,Asian,3,New York,Mid-Atlantic,Northeast
1,1,Female,2,5,White,3,Massachusetts,New England,Northeast
1,1,Male,4,2,White,2,Massachusetts,New England,Northeast
1,1,Male,5,3,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,0,Male,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,0,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,5,White,4,Texas,West South Central,South
1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,1,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,3,5,NA,3,New York,Mid-Atlantic,Northeast
1,1,Male,2,2,Other,2,Illinois,East North Central,Midwest
1,1,Male,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Texas,West South Central,South
1,1,Male,4,2,White,2,Texas,West South Central,South
1,1,Male,5,4,White,3,Texas,West South Central,South
1,1,Female,4,4,White,2,Texas,West South Central,South
1,1,Female,5,5,White,2,Texas,West South Central,South
1,1,Male,4,3,White,3,Texas,West South Central,South
1,1,Female,5,5,White,2,South Carolina,South Atlantic,South
1,1,Male,5,4,White,2,Texas,West South Central,South
1,1,Female,4,4,White,3,Texas,West South Central,South
1,1,Female,5,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,0,Female,4,3,White,2,Texas,West South Central,South
1,1,Male,5,5,White,4,Texas,West South Central,South
1,0,Male,4,3,White,2,Texas,West South Central,South
1,1,Male,4,5,White,3,South Carolina,South Atlantic,South
1,1,Male,5,3,White,3,Texas,West South Central,South
1,1,Female,5,3,White,2,Texas,West South Central,South
1,1,Female,4,2,White,3,Texas,West South Central,South
1,1,Female,5,4,White,3,Texas,West South Central,South
1,1,Female,5,4,Black,3,Texas,West South Central,South
1,1,Female,4,4,White,2,Texas,West South Central,South
1,1,Female,5,3,White,2,Texas,West South Central,South
1,1,Female,4,5,White,3,South Carolina,South Atlantic,South
1,1,Male,5,4,Other,2,Texas,West South Central,South
1,1,Male,5,3,White,2,Texas,West South Central,South
1,1,Female,4,2,White,2,Texas,West South Central,South
1,1,Male,4,5,White,4,Texas,West South Central,South
1,1,Female,4,2,White,2,Texas,West South Central,South
1,1,Male,5,3,White,3,North Carolina,South Atlantic,South
1,1,Female,4,2,White,2,Texas,West South Central,South
1,1,Male,5,4,White,2,Texas,West South Central,South
0,1,Female,4,2,White,1,Texas,West South Central,South
1,1,Female,4,4,White,3,South Carolina,South Atlantic,South
1,1,Female,3,3,White,3,South Carolina,South Atlantic,South
1,0,Male,4,1,White,1,Texas,West South Central,South
0,1,Female,4,1,White,2,South Carolina,South Atlantic,South
1,1,Female,4,2,White,3,Texas,West South Central,South
1,1,Male,5,4,NA,4,Texas,West South Central,South
1,1,Female,4,2,White,2,Texas,West South Central,South
1,1,Female,4,3,White,2,Texas,West South Central,South
1,1,Male,4,4,White,2,Texas,West South Central,South
1,1,Female,5,5,Other,2,Texas,West South Central,South
1,1,Female,5,3,White,2,Texas,West South Central,South
1,1,Male,5,3,White,2,Texas,West South Central,South
1,1,Female,4,NA,Black,2,Texas,West South Central,South
1,1,Male,5,2,White,3,Texas,West South Central,South
0,1,Female,4,1,Other,1,Texas,West South Central,South
1,1,Female,4,2,White,3,Texas,West South Central,South
1,1,Female,5,3,White,2,California,Pacific,West
1,1,Female,4,3,White,2,Texas,West South Central,South
1,1,Female,4,1,White,3,South Carolina,South Atlantic,South
1,1,Female,4,5,White,2,Texas,West South Central,South
1,1,Male,5,4,White,3,Texas,West South Central,South
1,0,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,3,3,White,2,Texas,West South Central,South
0,1,Female,5,NA,NA,1,South Carolina,South Atlantic,South
1,1,Male,4,4,White,2,Texas,West South Central,South
0,1,Female,5,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,5,3,White,2,Texas,West South Central,South
1,1,Female,5,4,White,2,Texas,West South Central,South
1,1,Female,1,2,White,1,Michigan,East North Central,Midwest
0,1,Male,4,3,White,2,Michigan,East North Central,Midwest
0,1,Female,2,2,White,2,North Carolina,South Atlantic,South
1,1,Male,3,1,White,1,Michigan,East North Central,Midwest
1,1,Male,5,5,White,3,Texas,West South Central,South
1,0,Male,4,1,Hispanic,2,California,Pacific,West
0,1,Female,2,1,White,2,Michigan,East North Central,Midwest
1,1,Female,4,5,White,3,California,Pacific,West
1,1,Female,4,4,White,3,Florida,South Atlantic,South
1,1,Male,4,2,White,2,Tennessee,East South Central,South
1,1,Female,4,3,White,3,Illinois,East North Central,Midwest
1,1,Female,5,1,White,2,Georgia,South Atlantic,South
0,1,Male,4,2,White,1,Tennessee,East South Central,South
1,1,Female,4,4,White,2,Michigan,East North Central,Midwest
1,1,Female,4,1,White,2,Ohio,East North Central,Midwest
1,1,Male,2,4,Hispanic,2,Illinois,East North Central,Midwest
1,1,Female,3,3,Black,1,Michigan,East North Central,Midwest
0,1,Male,3,2,White,2,Michigan,East North Central,Midwest
1,1,Female,4,2,White,1,New York,Mid-Atlantic,Northeast
1,1,Female,5,4,White,4,Oregon,Pacific,West
1,1,Female,5,5,White,3,California,Pacific,West
1,1,NA,2,3,White,1,New Mexico,Mountain,West
0,1,Female,5,5,NA,1,Oregon,Pacific,West
1,1,Female,4,2,White,2,Utah,Mountain,West
1,1,Female,2,4,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Colorado,Mountain,West
1,1,Female,4,3,White,2,Ohio,East North Central,Midwest
1,1,Female,4,5,White,2,Texas,West South Central,South
1,1,Male,5,4,White,4,Texas,West South Central,South
0,1,Female,5,2,White,2,California,Pacific,West
1,1,Female,3,4,Black,2,Virginia,South Atlantic,South
1,0,Male,4,2,NA,2,Alabama,East South Central,South
1,1,Female,4,5,White,3,Washington,Pacific,West
1,1,Female,5,3,White,3,Washington,Pacific,West
0,0,Female,5,3,Hispanic,1,Texas,West South Central,South
0,1,Female,4,4,White,2,Delaware,South Atlantic,South
1,1,Male,5,1,White,2,California,Pacific,West
1,1,Female,4,1,White,2,South Carolina,South Atlantic,South
1,1,Female,5,1,White,2,Ohio,East North Central,Midwest
1,1,Male,5,5,White,3,Oregon,Pacific,West
0,1,Female,2,2,Hispanic,1,Oklahoma,West South Central,South
1,1,Male,4,4,White,2,New York,Mid-Atlantic,Northeast
1,1,Female,2,4,White,2,Michigan,East North Central,Midwest
1,0,Female,2,2,Black,2,Kentucky,East South Central,South
0,1,Female,4,2,White,3,Michigan,East North Central,Midwest
1,1,Female,2,2,Other,1,California,Pacific,West
1,1,Male,5,4,White,2,NA,NA,NA
1,1,Male,1,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,4,4,White,2,Michigan,East North Central,Midwest
0,1,Female,4,4,Hispanic,3,Washington,Pacific,West
1,1,Female,5,4,White,1,Michigan,East North Central,Midwest
1,0,Male,3,1,White,2,Mississippi,East South Central,South
0,1,Female,3,2,White,1,Michigan,East North Central,Midwest
1,1,Male,2,2,Other,1,California,Pacific,West
1,0,Female,3,1,White,2,New York,Mid-Atlantic,Northeast
1,1,Female,3,5,Black,1,Virginia,South Atlantic,South
0,0,Female,2,3,Hispanic,3,Florida,South Atlantic,South
1,1,Male,5,4,White,2,Michigan,East North Central,Midwest
1,1,Male,4,2,White,3,Wisconsin,East North Central,Midwest
1,1,Male,5,3,White,2,Ohio,East North Central,Midwest
1,1,Female,3,5,White,2,Mississippi,East South Central,South
1,1,Male,4,5,White,4,New York,Mid-Atlantic,Northeast
1,1,Male,5,4,White,2,Michigan,East North Central,Midwest
1,1,Female,3,5,Hispanic,2,New York,Mid-Atlantic,Northeast
1,1,Female,3,1,Hispanic,2,NA,NA,NA
0,1,Male,4,3,Hispanic,2,Texas,West South Central,South
1,1,Female,2,5,White,3,Minnesota,West North Central,Midwest
1,1,Female,4,4,White,3,New York,Mid-Atlantic,Northeast
1,0,Female,3,2,Black,1,Connecticut,New England,Northeast
1,1,Female,2,4,Black,2,Maryland,South Atlantic,South
1,1,Female,4,1,White,2,Missouri,West North Central,Midwest
1,1,Male,4,4,White,3,Illinois,East North Central,Midwest
1,1,Male,3,2,NA,3,Michigan,East North Central,Midwest
1,1,Female,4,4,White,2,Kentucky,East South Central,South
1,1,Female,4,4,White,2,Maryland,South Atlantic,South
1,1,Female,4,4,White,3,South Carolina,South Atlantic,South
1,1,Female,5,3,White,2,Michigan,East North Central,Midwest
0,1,Male,4,NA,White,2,Tennessee,East South Central,South
0,1,Male,2,1,Hispanic,3,Maryland,South Atlantic,South
1,1,Female,4,2,White,1,Illinois,East North Central,Midwest
1,0,Female,3,2,White,3,Michigan,East North Central,Midwest
1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
0,0,Female,4,2,Hispanic,1,North Carolina,South Atlantic,South
1,1,Female,5,3,White,2,Texas,West South Central,South
1,1,Male,5,5,White,3,Virginia,South Atlantic,South
1,1,Female,3,4,Black,2,Maryland,South Atlantic,South
1,1,Female,4,4,White,2,New Jersey,Mid-Atlantic,Northeast
1,1,Female,4,3,White,2,Illinois,East North Central,Midwest
1,1,Female,4,4,White,3,NA,NA,NA
0,0,Female,3,4,White,2,Michigan,East North Central,Midwest
0,1,Female,2,1,Hispanic,3,Iowa,West North Central,Midwest
1,1,Male,4,4,White,2,South Carolina,South Atlantic,South
1,1,Female,4,2,White,3,California,Pacific,West
1,1,Male,5,2,NA,3,California,Pacific,West
0,1,Female,3,3,White,2,North Carolina,South Atlantic,South
1,1,Female,4,2,White,2,Kentucky,East South Central,South
1,1,Female,2,1,White,2,Michigan,East North Central,Midwest
1,1,Female,5,2,White,2,North Carolina,South Atlantic,South
1,1,Female,2,3,White,2,Wisconsin,East North Central,Midwest
0,0,Female,4,3,Black,1,New York,Mid-Atlantic,Northeast
1,1,Female,2,2,White,1,Maine,New England,Northeast
1,1,Female,4,3,White,2,California,Pacific,West
1,0,Female,4,2,White,2,Kansas,West North Central,Midwest
1,1,Male,5,5,White,3,Tennessee,East South Central,South
1,1,Female,5,3,White,2,Ohio,East North Central,Midwest
0,0,Female,5,4,Black,2,Michigan,East North Central,Midwest
1,1,Male,5,1,White,2,Tennessee,East South Central,South
1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
1,1,Female,5,4,White,3,Massachusetts,New England,Northeast
1,1,Male,4,4,White,3,South Carolina,South Atlantic,South
0,1,Female,5,5,White,2,Louisiana,West South Central,South
1,1,Male,4,2,White,3,North Carolina,South Atlantic,South
1,1,Female,2,5,White,3,Michigan,East North Central,Midwest
1,1,Male,3,4,White,3,Mississippi,East South Central,South
1,1,Male,4,4,White,3,Indiana,East North Central,Midwest
1,1,Female,5,3,White,2,New York,Mid-Atlantic,Northeast
1,1,Male,1,2,White,2,Michigan,East North Central,Midwest
1,1,Female,4,5,White,2,Massachusetts,New England,Northeast
1,1,Female,4,4,White,2,New York,Mid-Atlantic,Northeast
1,1,Female,4,4,Other,3,Texas,West South Central,South
1,1,Female,4,2,White,2,Michigan,East North Central,Midwest
1,0,Female,5,5,White,2,Michigan,East North Central,Midwest
1,1,Male,5,3,White,2,Minnesota,West North Central,Midwest
0,1,Female,3,3,White,2,Texas,West South Central,South
1,1,Female,1,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Female,5,3,White,2,Michigan,East North Central,Midwest
1,1,Female,4,4,White,2,Florida,South Atlantic,South
1,1,Male,5,1,White,2,South Carolina,South Atlantic,South
0,1,Female,4,4,White,2,Michigan,East North Central,Midwest
1,1,Female,4,5,White,2,Connecticut,New England,Northeast
1,1,Female,1,2,White,1,New York,Mid-Atlantic,Northeast
0,1,Female,4,2,White,1,West Virginia,South Atlantic,South
1,1,Male,4,2,White,2,Illinois,East North Central,Midwest
1,1,Male,3,3,White,1,Michigan,East North Central,Midwest
0,0,Female,3,NA,NA,2,Michigan,East North Central,Midwest
1,1,Female,5,3,White,2,Georgia,South Atlantic,South
1,1,Female,5,3,White,1,Michigan,East North Central,Midwest
0,0,Male,5,3,White,3,Texas,West South Central,South
1,1,Female,5,3,White,3,Tennessee,East South Central,South
1,1,Male,4,1,Black,2,New York,Mid-Atlantic,Northeast
1,1,Female,4,4,White,2,Michigan,East North Central,Midwest
1,1,Female,5,1,White,2,Maryland,South Atlantic,South
1,1,Male,5,3,White,2,Ohio,East North Central,Midwest
1,1,Female,4,5,White,3,Iowa,West North Central,Midwest
1,1,Male,4,1,White,2,Missouri,West North Central,Midwest
1,1,Female,5,2,White,2,Arizona,Mountain,West
1,1,Female,5,5,White,2,New York,Mid-Atlantic,Northeast
1,1,Female,4,1,White,3,California,Pacific,West
1,1,Male,4,1,Hispanic,2,Texas,West South Central,South
0,1,Male,5,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1,1,Male,5,3,White,3,Texas,West South Central,South
1,1,Male,2,1,Black,1,Ohio,East North Central,Midwest
0,1,Female,2,2,White,2,New York,Mid-Atlantic,Northeast
0,1,Female,3,2,Black,2,Ohio,East North Central,Midwest
1,1,Female,4,4,White,2,Massachusetts,New England,Northeast
1,1,Female,2,4,White,2,Michigan,East North Central,Midwest
0,0,Female,2,4,Black,2,Florida,South Atlantic,South
1,1,Female,2,5,Hispanic,3,New York,Mid-Atlantic,Northeast
0,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
0,1,Female,2,3,Hispanic,2,California,Pacific,West
1,1,Female,4,2,White,1,Ohio,East North Central,Midwest
1,0,Female,3,1,Black,1,Maryland,South Atlantic,South
1,1,Female,5,4,White,3,Iowa,West North Central,Midwest
1,1,Male,4,4,White,2,North Carolina,South Atlantic,South
0,0,Female,1,3,Other,2,DC,South Atlantic,South
